Overriding config with config/finetune_task_a.py:
# config/finetune_task_a.py

# system
device = 'cuda'   # FIX: was 'cpu'
compile = False

# I/O
out_dir = 'out/task_a'
eval_interval = 50
eval_iters = 40
always_save_checkpoint = False

# logging
wandb_log = False  # set to True if you want W&B
wandb_project = 'shakespeare_sft'
wandb_run_name = 'task_a_m100_finetune'
log_interval = 10

# data
dataset = 'task_a'
block_size = 256

# model — must match M_100 architecture
n_layer = 6
n_head = 6
n_embd = 384
bias = False
vocab_size = 65

# init from M_100 checkpoint
init_from = 'resume'
dropout = 0.1

# training
max_iters = 2000
iter_num = 0
learning_rate = 5e-5
decay_lr = False
min_lr = 5e-5
batch_size = 32
gradient_accumulation_steps = 1

# optimizer
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0
dtype = 'float16'

tokens per iteration will be: 8,192
found vocab_size = 62 (inside data/task_a/meta.pkl)
Resuming training from out/task_a
number of parameters: 10.65M
/teamspace/studios/this_studio/advanced-nlp-assignment-group6/train.py:216: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 350: train loss 0.9484, val loss 1.3375
iter 350: loss 1.1321, time 1611.81ms, mfu -100.00%
iter 360: loss 1.1704, time 49.70ms, mfu 3.75%
iter 370: loss 1.1274, time 49.24ms, mfu 3.75%
iter 380: loss 1.1162, time 49.52ms, mfu 3.75%
iter 390: loss 1.1161, time 49.78ms, mfu 3.75%
step 400: train loss 0.8721, val loss 1.3461
iter 400: loss 1.1032, time 1353.13ms, mfu 3.39%
iter 410: loss 1.0330, time 50.00ms, mfu 3.42%
iter 420: loss 1.0361, time 48.97ms, mfu 3.46%
iter 430: loss 1.0732, time 49.54ms, mfu 3.49%
iter 440: loss 1.0314, time 49.23ms, mfu 3.52%
step 450: train loss 0.8218, val loss 1.3732
iter 450: loss 1.0445, time 1359.52ms, mfu 3.18%
iter 460: loss 1.0188, time 49.90ms, mfu 3.24%
iter 470: loss 1.0050, time 49.81ms, mfu 3.29%
iter 480: loss 0.9795, time 49.61ms, mfu 3.34%
iter 490: loss 0.9812, time 49.52ms, mfu 3.38%
step 500: train loss 0.7434, val loss 1.3901
iter 500: loss 0.9641, time 1362.61ms, mfu 3.05%
iter 510: loss 0.9718, time 49.64ms, mfu 3.12%
iter 520: loss 0.9574, time 49.07ms, mfu 3.19%
iter 530: loss 0.9414, time 50.15ms, mfu 3.24%
iter 540: loss 0.9635, time 49.91ms, mfu 3.29%
step 550: train loss 0.6758, val loss 1.4238
iter 550: loss 0.9321, time 1360.62ms, mfu 2.98%
