Overriding config with config/finetune_task_b.py:
# config/finetune_task_b.py

# system
device = 'cuda'   # FIX: was 'cpu'
compile = False

# I/O
out_dir = 'out/task_b'
eval_interval = 50
eval_iters = 40
always_save_checkpoint = False

# logging
wandb_log = False  # set to True if you want W&B
wandb_project = 'shakespeare_sft'
wandb_run_name = 'task_b_m100_finetune'
log_interval = 10

# data
dataset = 'task_b'
block_size = 256

# model — must match M_100 architecture
n_layer = 6
n_head = 6
n_embd = 384
bias = False
vocab_size = 65

# init from M_100 checkpoint
init_from = 'resume'
dropout = 0.1

# training
max_iters = 2000
iter_num = 0
learning_rate = 5e-5
decay_lr = False
min_lr = 5e-5
batch_size = 32
gradient_accumulation_steps = 1

# optimizer
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0
dtype = 'float16'

tokens per iteration will be: 8,192
found vocab_size = 64 (inside data/task_b/meta.pkl)
Resuming training from out/task_b
number of parameters: 10.65M
/teamspace/studios/this_studio/advanced-nlp-assignment-group6/train.py:216: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 1300: train loss 0.9986, val loss 1.3950
iter 1300: loss 1.0869, time 1620.18ms, mfu -100.00%
iter 1310: loss 1.1079, time 50.13ms, mfu 3.72%
iter 1320: loss 1.1023, time 50.34ms, mfu 3.72%
iter 1330: loss 1.1024, time 50.95ms, mfu 3.71%
iter 1340: loss 1.1304, time 50.65ms, mfu 3.71%
step 1350: train loss 0.9796, val loss 1.4182
iter 1350: loss 1.0876, time 1388.51ms, mfu 3.35%
iter 1360: loss 1.1107, time 50.35ms, mfu 3.38%
iter 1370: loss 1.0876, time 51.09ms, mfu 3.41%
iter 1380: loss 1.0846, time 50.93ms, mfu 3.44%
iter 1390: loss 1.0522, time 50.96ms, mfu 3.46%
step 1400: train loss 0.9606, val loss 1.4309
iter 1400: loss 1.0651, time 1388.12ms, mfu 3.12%
iter 1410: loss 1.1179, time 51.36ms, mfu 3.18%
iter 1420: loss 1.0945, time 51.20ms, mfu 3.22%
iter 1430: loss 1.1101, time 50.92ms, mfu 3.27%
iter 1440: loss 1.0850, time 50.44ms, mfu 3.31%
step 1450: train loss 0.9377, val loss 1.4407
iter 1450: loss 1.0634, time 1395.89ms, mfu 2.99%
iter 1460: loss 1.0675, time 51.37ms, mfu 3.05%
iter 1470: loss 1.0398, time 50.85ms, mfu 3.12%
iter 1480: loss 1.1111, time 50.40ms, mfu 3.17%
iter 1490: loss 1.0681, time 50.76ms, mfu 3.22%
step 1500: train loss 0.9178, val loss 1.4268
